r_azon,szakmacsoport_kod,szakmacsoport_nev,is_terapia
010792861,01,Belgyógyászat,1
010792862,01,Belgyógyászat,1
010792863,01,Belgyógyászat,1
010792864,01,Belgyógyászat,1
010792865,01,Belgyógyászat,1
010792866,01,Belgyógyászat,1
010792867,01,Belgyógyászat,1
010792868,01,Belgyógyászat,1
010792869,01,Belgyógyászat,1
010792870,01,Belgyógyászat,1
010792871,01,Belgyógyászat,1
010792872,01,Belgyógyászat,1
010792873,01,Belgyógyászat,1
010792874,01,Belgyógyászat,1
010792875,01,Belgyógyászat,1
010792876,01,Belgyógyászat,1
010792877,01,Belgyógyászat,1
010792878,01,Belgyógyászat,1
010792879,01,Belgyógyászat,1
010792880,01,Belgyógyászat,1
010792881,01,Belgyógyászat,1
010792882,01,Belgyógyászat,1
010792883,01,Belgyógyászat,1
010792884,01,Belgyógyászat,1
010792885,01,Belgyógyászat,1
010792886,01,Belgyógyászat,1
010792887,01,Belgyógyászat,1
0107I0100,01,Belgyógyászat,1
010810101,01,Belgyógyászat,1
010810102,01,Belgyógyászat,1
010812005,01,Belgyógyászat,1
010820101,01,Belgyógyászat,1
010820103,01,Belgyógyászat,1
010820107,01,Belgyógyászat,1
010822004,01,Belgyógyászat,1
010822702,01,Belgyógyászat,1
010823000,01,Belgyógyászat,1
010823003,01,Belgyógyászat,1
010823108,01,Belgyógyászat,1
010825650,01,Belgyógyászat,1
0108P0101,01,Belgyógyászat,1
010910101,01,Belgyógyászat,1
010910102,01,Belgyógyászat,1
010910103,01,Belgyógyászat,1
010910111,01,Belgyógyászat,1
010910199,01,Belgyógyászat,1
010920101,01,Belgyógyászat,1
010920102,01,Belgyógyászat,1
010920103,01,Belgyógyászat,1
010920114,01,Belgyógyászat,1
010920123,01,Belgyógyászat,1
010920126,01,Belgyógyászat,1
010920128,01,Belgyógyászat,1
010920129,01,Belgyógyászat,1
010920199,01,Belgyógyászat,1
010920826,01,Belgyógyászat,1
010920887,01,Belgyógyászat,1
010921901,01,Belgyógyászat,1
010922727,01,Belgyógyászat,1
010922728,01,Belgyógyászat,1
010922802,01,Belgyógyászat,1
010922803,01,Belgyógyászat,1
010922804,01,Belgyógyászat,1
010922805,01,Belgyógyászat,1
010922806,01,Belgyógyászat,1
010922807,01,Belgyógyászat,1
010922808,01,Belgyógyászat,1
010922809,01,Belgyógyászat,1
010922810,01,Belgyógyászat,1
010922811,01,Belgyógyászat,1
010922812,01,Belgyógyászat,1
010922813,01,Belgyógyászat,1
010922814,01,Belgyógyászat,1
010922825,01,Belgyógyászat,1
010922900,01,Belgyógyászat,1
010922901,01,Belgyógyászat,1
010923023,01,Belgyógyászat,1
010923101,01,Belgyógyászat,1
010923102,01,Belgyógyászat,1
010923122,01,Belgyógyászat,1
010923700,01,Belgyógyászat,1
010923724,01,Belgyógyászat,1
010924000,01,Belgyógyászat,1
010925651,01,Belgyógyászat,1
010950110,01,Belgyógyászat,1
010950111,01,Belgyógyászat,1
010950112,01,Belgyógyászat,1
0109P0101,01,Belgyógyászat,1
011020101,01,Belgyógyászat,1
011210101,01,Belgyógyászat,1
011210102,01,Belgyógyászat,1
011210103,01,Belgyógyászat,1
011210104,01,Belgyógyászat,1
011210108,01,Belgyógyászat,1
011213701,01,Belgyógyászat,1
011220101,01,Belgyógyászat,1
011220102,01,Belgyógyászat,1
011220103,01,Belgyógyászat,1
011220104,01,Belgyógyászat,1
011220105,01,Belgyógyászat,1
011220106,01,Belgyógyászat,1
011220107,01,Belgyógyászat,1
011220108,01,Belgyógyászat,1
011220109,01,Belgyógyászat,1
011220111,01,Belgyógyászat,1
011220112,01,Belgyógyászat,1
011220113,01,Belgyógyászat,1
011220114,01,Belgyógyászat,1
011220115,01,Belgyógyászat,1
011220116,01,Belgyógyászat,1
011220174,01,Belgyógyászat,1
011220644,01,Belgyógyászat,1
011222701,01,Belgyógyászat,1
011222712,01,Belgyógyászat,1
011222901,01,Belgyógyászat,1
011223001,01,Belgyógyászat,1
011223002,01,Belgyógyászat,1
011223006,01,Belgyógyászat,1
011223007,01,Belgyógyászat,1
011223107,01,Belgyógyászat,1
011223108,01,Belgyógyászat,1
011223701,01,Belgyógyászat,1
011223702,01,Belgyógyászat,1
011223703,01,Belgyógyászat,1
011225620,01,Belgyógyászat,1
011225622,01,Belgyógyászat,1
011225630,01,Belgyógyászat,1
011252761,01,Belgyógyászat,1
011252762,01,Belgyógyászat,1
011252763,01,Belgyógyászat,1
011252764,01,Belgyógyászat,1
011252765,01,Belgyógyászat,1
011252766,01,Belgyógyászat,1
011252767,01,Belgyógyászat,1
011252768,01,Belgyógyászat,1
011252769,01,Belgyógyászat,1
011252770,01,Belgyógyászat,1
011252771,01,Belgyógyászat,1
011252772,01,Belgyógyászat,1
011252773,01,Belgyógyászat,1
011252774,01,Belgyógyászat,1
011252775,01,Belgyógyászat,1
011252776,01,Belgyógyászat,1
011252777,01,Belgyógyászat,1
011252778,01,Belgyógyászat,1
011252779,01,Belgyógyászat,1
011252780,01,Belgyógyászat,1
011252781,01,Belgyógyászat,1
011252782,01,Belgyógyászat,1
011252783,01,Belgyógyászat,1
011252784,01,Belgyógyászat,1
011252785,01,Belgyógyászat,1
011252786,01,Belgyógyászat,1
011252787,01,Belgyógyászat,1
011252788,01,Belgyógyászat,1
011252789,01,Belgyógyászat,1
011252790,01,Belgyógyászat,1
011252791,01,Belgyógyászat,1
011252793,01,Belgyógyászat,1
011252794,01,Belgyógyászat,1
011252795,01,Belgyógyászat,1
011252796,01,Belgyógyászat,1
011252797,01,Belgyógyászat,1
011252798,01,Belgyógyászat,1
011252799,01,Belgyógyászat,1
011252800,01,Belgyógyászat,1
011252801,01,Belgyógyászat,1
011252873,01,Belgyógyászat,1
011510110,01,Belgyógyászat,1
011510120,01,Belgyógyászat,1
011520101,01,Belgyógyászat,1
011520102,01,Belgyógyászat,1
011520103,01,Belgyógyászat,1
011520104,01,Belgyógyászat,1
011520111,01,Belgyógyászat,1
011520112,01,Belgyógyászat,1
011520121,01,Belgyógyászat,1
011520142,01,Belgyógyászat,1
011521711,01,Belgyógyászat,1
011522701,01,Belgyógyászat,1
011522801,01,Belgyógyászat,1
011522901,01,Belgyógyászat,1
011523001,01,Belgyógyászat,1
011523002,01,Belgyógyászat,1
011523101,01,Belgyógyászat,1
011523102,01,Belgyógyászat,1
011523104,01,Belgyógyászat,1
011523701,01,Belgyógyászat,1
011525603,01,Belgyógyászat,1
011525624,01,Belgyógyászat,1
0115256E1,01,Belgyógyászat,1
011526199,01,Belgyógyászat,1
0115P0101,01,Belgyógyászat,1
0115P3102,01,Belgyógyászat,1
011610100,01,Belgyógyászat,1
011613700,01,Belgyógyászat,1
011620100,01,Belgyógyászat,1
011620101,01,Belgyógyászat,1
011620102,01,Belgyógyászat,1
011620105,01,Belgyógyászat,1
011620107,01,Belgyógyászat,1
011620109,01,Belgyógyászat,1
011620114,01,Belgyógyászat,1
011620183,01,Belgyógyászat,1
011620193,01,Belgyógyászat,1
011622700,01,Belgyógyászat,1
011622701,01,Belgyógyászat,1
011622702,01,Belgyógyászat,1
011623000,01,Belgyógyászat,1
011623001,01,Belgyógyászat,1
011623002,01,Belgyógyászat,1
011623003,01,Belgyógyászat,1
011623004,01,Belgyógyászat,1
011623100,01,Belgyógyászat,1
011623101,01,Belgyógyászat,1
011623102,01,Belgyógyászat,1
011623103,01,Belgyógyászat,1
011623150,01,Belgyógyászat,1
011623700,01,Belgyógyászat,1
011623701,01,Belgyógyászat,1
011623702,01,Belgyógyászat,1
011625650,01,Belgyógyászat,1
011626199,01,Belgyógyászat,1
011633100,01,Belgyógyászat,1
011710101,01,Belgyógyászat,1
011710106,01,Belgyógyászat,1
011710109,01,Belgyógyászat,1
011710191,01,Belgyógyászat,1
011710192,01,Belgyógyászat,1
011720104,01,Belgyógyászat,1
011720191,01,Belgyógyászat,1
011720192,01,Belgyógyászat,1
011720193,01,Belgyógyászat,1
011722701,01,Belgyógyászat,1
011723001,01,Belgyógyászat,1
011723101,01,Belgyógyászat,1
011723701,01,Belgyógyászat,1
011780100,01,Belgyógyászat,1
011810121,01,Belgyógyászat,1
011810122,01,Belgyógyászat,1
011810123,01,Belgyógyászat,1
011810124,01,Belgyógyászat,1
011813703,01,Belgyógyászat,1
011820101,01,Belgyógyászat,1
